Airline,KPI_Name,Value,Route,Stopovers
Air Arabia,Average Total Fare,69924.0069653591,,
Air Astra,Average Total Fare,68497.40780385124,,
Air India,Average Total Fare,72474.17841927757,,
AirAsia,Average Total Fare,74534.39065085599,,
Biman Bangladesh Airlines,Average Total Fare,70192.96928740495,,
British Airways,Average Total Fare,70555.53620528667,,
Cathay Pacific,Average Total Fare,73325.09112407768,,
Emirates,Average Total Fare,70106.14941295658,,
Etihad Airways,Average Total Fare,71785.24204541481,,
FlyDubai,Average Total Fare,68987.68920579819,,
Gulf Air,Average Total Fare,71458.16382764814,,
IndiGo,Average Total Fare,72504.43312224906,,
Kuwait Airways,Average Total Fare,71988.27610740755,,
Lufthansa,Average Total Fare,69293.16387889728,,
Malaysian Airlines,Average Total Fare,72775.18020054615,,
NovoAir,Average Total Fare,68350.8592477514,,
Qatar Airways,Average Total Fare,69865.53648745059,,
Saudia,Average Total Fare,69270.67612310106,,
Singapore Airlines,Average Total Fare,68323.93091354895,,
SriLankan Airlines,Average Total Fare,71265.261153516,,
Thai Airways,Average Total Fare,72845.78999276276,,
Turkish Airlines,Average Total Fare,75547.2686286511,,
US-Bangla Airlines,Average Total Fare,72088.28902479199,,
Vistara,Average Total Fare,68108.2388436122,,
,Number of Flights,372.0,BZL-BKK,
,Number of Flights,352.0,BZL-CCU,
,Number of Flights,360.0,BZL-CGP,
,Number of Flights,378.0,BZL-CXB,
,Number of Flights,337.0,BZL-DAC,
,Number of Flights,402.0,BZL-DEL,
,Number of Flights,396.0,BZL-DOH,
,Number of Flights,361.0,BZL-DXB,
,Number of Flights,387.0,BZL-IST,
,Number of Flights,407.0,BZL-JED,
,Number of Flights,371.0,BZL-JFK,
,Number of Flights,352.0,BZL-JSR,
,Number of Flights,360.0,BZL-KUL,
,Number of Flights,376.0,BZL-LHR,
,Number of Flights,347.0,BZL-RJH,
,Number of Flights,395.0,BZL-SIN,
,Number of Flights,360.0,BZL-SPD,
,Number of Flights,410.0,BZL-YYZ,
,Number of Flights,379.0,BZL-ZYL,
,Number of Flights,408.0,CGP-BKK,
,Number of Flights,360.0,CGP-BZL,
,Number of Flights,392.0,CGP-CCU,
,Number of Flights,404.0,CGP-CXB,
,Number of Flights,368.0,CGP-DAC,
,Number of Flights,395.0,CGP-DEL,
,Number of Flights,365.0,CGP-DOH,
,Number of Flights,360.0,CGP-DXB,
,Number of Flights,345.0,CGP-IST,
,Number of Flights,400.0,CGP-JED,
,Number of Flights,362.0,CGP-JFK,
,Number of Flights,355.0,CGP-JSR,
,Number of Flights,376.0,CGP-KUL,
,Number of Flights,388.0,CGP-LHR,
,Number of Flights,403.0,CGP-RJH,
,Number of Flights,381.0,CGP-SIN,
,Number of Flights,390.0,CGP-SPD,
,Number of Flights,393.0,CGP-YYZ,
,Number of Flights,396.0,CGP-ZYL,
,Number of Flights,390.0,CXB-BKK,
,Number of Flights,386.0,CXB-BZL,
,Number of Flights,350.0,CXB-CCU,
,Number of Flights,378.0,CXB-CGP,
,Number of Flights,353.0,CXB-DAC,
,Number of Flights,408.0,CXB-DEL,
,Number of Flights,369.0,CXB-DOH,
,Number of Flights,322.0,CXB-DXB,
,Number of Flights,345.0,CXB-IST,
,Number of Flights,359.0,CXB-JED,
,Number of Flights,389.0,CXB-JFK,
,Number of Flights,358.0,CXB-JSR,
,Number of Flights,369.0,CXB-KUL,
,Number of Flights,372.0,CXB-LHR,
,Number of Flights,384.0,CXB-RJH,
,Number of Flights,344.0,CXB-SIN,
,Number of Flights,390.0,CXB-SPD,
,Number of Flights,383.0,CXB-YYZ,
,Number of Flights,400.0,CXB-ZYL,
,Number of Flights,361.0,DAC-BKK,
,Number of Flights,380.0,DAC-BZL,
